srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,proto_encoded,state_encoded,service_encoded,srcip_encoded,dstip_encoded
0,55490.0,0,53.0,0.0,0.0,0.00105,146.0,178.0,31.0,29.0,0.0,0.0,0.0,556190.5,678095.25,2.0,2.0,0.0,0.0,0.0,0.0,73.0,89.0,0.0,0.0,0.0,0.0,1421950270.0,1421950270.0,0.009,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1,1
1,26756.0,1,21.0,0.0,0.0,4.264797,2934.0,3738.0,31.0,29.0,11.0,15.0,0.0,5398.615234,6882.390625,52.0,54.0,255.0,255.0,4073546360.0,4271342768.0,56.0,69.0,0.0,0.0,5631.619534,192.298828,1421944870.0,1421944874.0,83.617101,80.451266,0.001011,0.000877,0.000134,0.0,0.0,0.0,1.0,4.0,5.0,5.0,15.0,11.0,5.0,5.0,8.0,0,2.0,2.0,2.0,2,2
2,1043.0,2,53.0,0.0,0.0,3e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,152000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424251725.0,1424251725.0,0.003,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,17.0,17.0,14.0,14.0,14.0,14.0,17.0,0,1.0,3.0,1.0,3,3
3,1043.0,3,53.0,0.0,0.0,3e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,152000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424233686.0,1424233686.0,0.003,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,0,1.0,3.0,1.0,4,4
4,34472.0,0,10429.0,0.0,0.0,0.052957,3718.0,43086.0,31.0,29.0,7.0,24.0,0.0,552750.375,6403988.5,62.0,62.0,255.0,255.0,926166428.0,3071827628.0,60.0,695.0,0.0,0.0,56.791579,1.518598,1424244324.0,1424244324.0,0.863115,0.859525,0.00065,0.00052,0.00013,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,5.0,8.0,3.0,2.0,1.0,1.0,2.0,0,2.0,2.0,3.0,5,1
0,56992.0,4,55107.0,0.0,0.0,0.016463,2958.0,32408.0,31.0,29.0,7.0,18.0,0.0,1407762.875,15433396.0,48.0,50.0,255.0,255.0,6548629.0,14890177.0,62.0,648.0,0.0,0.0,0.0,18.612264,1421941778.0,1421941778.0,0.343383,0.324714,0.000703,0.000548,0.000155,0.0,0.0,0.0,0.0,0.0,11.0,16.0,9.0,2.0,1.0,1.0,1.0,0,2.0,2.0,3.0,1,5
5,1043.0,5,53.0,0.0,0.0,5e-06,264.0,0.0,60.0,0.0,0.0,0.0,0.0,211200000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,1424238583.0,1424238583.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,19.0,19.0,14.0,14.0,14.0,14.0,19.0,0,1.0,3.0,1.0,6,6
6,47439.0,6,53.0,0.0,0.0,3e-06,114.0,0.0,254.0,0.0,0.0,0.0,0.0,152000000.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,1424260141.0,1424260141.0,0.003,0.0,0.0,0.0,0.0,0.0,2.0,0.2914540816326531,0.04522246535375638,0.0,16.0,16.0,11.0,11.0,11.0,5.0,16.0,0,1.0,3.0,1.0,7,7
7,1043.0,7,53.0,0.0,0.0,7e-06,264.0,0.0,60.0,0.0,0.0,0.0,0.0,150857136.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0.0,0.0,0.0,1424247951.0,1424247951.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.2914540816326531,0.04522246535375638,0.0,26.0,26.0,23.0,23.0,23.0,23.0,26.0,0,1.0,3.0,1.0,8,8
8,9944.0,4,80.0,0.0,0.0,1.225771,1684.0,10168.0,31.0,29.0,3.0,5.0,0.0,10207.45313,62680.55078,14.0,18.0,255.0,255.0,1556979850.0,3707705023.0,120.0,565.0,1.0,3924.0,9171.711448,8028.714003,1424223161.0,1424223162.0,94.264464,72.076059,0.000597,0.000475,0.000122,0.0,0.0,1.0,0.04522246535375638,0.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,0,2.0,2.0,4.0,9,5
