srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,Label
0,0,0,0,0,0,0.00105,146,178,31,29,0,0,0,556190.5,678095.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1421950270,1421950270,0.009,0.002,0.0,0.0,0.0,0,0,0.0,0.0,0,3,4,3,2,1,1,1,0
1,1,1,1,1,1,4.264797,2934,3738,31,29,11,15,1,5398.615234,6882.390625,52,54,255,255,4073546360,4271342768,56,69,0,0,5631.619534,192.298828,1421944870,1421944874,83.617101,80.451266,0.001011,0.000877,0.000134,0,0,0.0,1.0,1,5,5,15,11,5,5,8,0
2,2,2,0,0,2,3e-06,114,0,254,0,0,0,0,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424251725,1424251725,0.003,0.0,0.0,0.0,0.0,0,2,,,2,17,17,14,14,14,14,17,1
3,2,3,0,0,2,3e-06,114,0,254,0,0,0,0,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424233686,1424233686,0.003,0.0,0.0,0.0,0.0,0,2,,,2,25,25,25,25,25,25,25,1
4,3,0,2,1,1,0.052957,3718,43086,31,29,7,24,2,552750.375,6403988.5,62,62,255,255,926166428,3071827628,60,695,0,0,56.791579,1.518598,1424244324,1424244324,0.863115,0.859525,0.00065,0.00052,0.00013,0,0,,,2,5,8,3,2,1,1,2,0
0,4,4,3,1,1,0.016463,2958,32408,31,29,7,18,2,1407762.875,15433396.0,48,50,255,255,6548629,14890177,62,648,0,0,0.0,18.612264,1421941778,1421941778,0.343383,0.324714,0.000703,0.000548,0.000155,0,0,0.0,0.0,0,11,16,9,2,1,1,1,0
5,2,5,0,0,2,5e-06,264,0,60,0,0,0,0,211200000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424238583,1424238583,0.005,0.0,0.0,0.0,0.0,0,0,,,2,19,19,14,14,14,14,19,0
6,5,6,0,0,2,3e-06,114,0,254,0,0,0,0,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424260141,1424260141,0.003,0.0,0.0,0.0,0.0,0,2,,,2,16,16,11,11,11,5,16,1
7,2,7,0,0,2,7e-06,264,0,60,0,0,0,0,150857136.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424247951,1424247951,0.007,0.0,0.0,0.0,0.0,0,0,,,2,26,26,23,23,23,23,26,0
8,6,4,4,1,1,1.225771,1684,10168,31,29,3,5,3,10207.45313,62680.55078,14,18,255,255,1556979850,3707705023,120,565,1,3924,9171.711448,8028.714003,1424223161,1424223162,94.264464,72.076059,0.000597,0.000475,0.000122,0,0,1.0,,2,1,2,2,1,1,1,2,0
4,7,8,5,1,1,0.032683,3614,45044,31,29,7,24,2,869932.375,10847964.0,60,62,255,255,3813616335,3813914652,60,727,0,0,34.040364,32.701438,1421956376,1421956376,0.547763,0.525754,0.000726,0.000602,0.000124,0,0,0.0,0.0,0,8,2,2,1,1,1,1,0
2,8,9,6,2,2,5e-06,180,0,254,0,0,0,2,144000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1421930644,1421930644,0.005,0.0,0.0,0.0,0.0,0,2,0.0,0.0,0,8,6,5,4,4,4,4,1
3,2,3,0,0,2,3e-06,114,0,254,0,0,0,0,152000000.0,0.0,2,0,0,0,0,0,57,0,0,0,0.0,0.0,1424230722,1424230722,0.003,0.0,0.0,0.0,0.0,0,2,,,2,34,34,25,25,25,25,34,1
4,9,8,7,1,1,0.017883,1540,1644,31,29,4,4,2,645976.5625,694738.0,16,18,255,255,3060140432,3064723875,96,91,0,0,70.838644,2.077696,1424246378,1424246378,1.172133,1.025412,0.000563,0.000447,0.000116,0,0,,,2,3,5,5,6,3,1,3,0
