srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,Label
59.166.0.1,55490,149.171.126.3,53,udp,CON,0.00105,146,178,31,29,0,0,dns,556190.5,678095.25,2,2,0,0,0,0,73,89,0,0,0,0,1421950270,1421950270,0.009,0.002,0,0,0,0,0,0,0,0,3,4,3,2,1,1,1,,0
59.166.0.9,26756,149.171.126.8,21,tcp,FIN,4.264797,2934,3738,31,29,11,15,ftp,5398.615234,6882.390625,52,54,255,255,4073546360,4271342768,56,69,0,0,5631.619534,192.298828,1421944870,1421944874,83.617101,80.451266,0.001011,0.000877,0.000134,0,0,0,1,4,5,5,15,11,5,5,8,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424251725,1424251725,0.003,0,0,0,0,0,2,,, ,17,17,14,14,14,14,17,Generic,1
175.45.176.3,1043,149.171.126.18,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424233686,1424233686,0.003,0,0,0,0,0,2,,, ,25,25,25,25,25,25,25,Generic,1
59.166.0.4,34472,149.171.126.3,10429,tcp,FIN,0.052957,3718,43086,31,29,7,24,-,552750.375,6403988.5,62,62,255,255,926166428,3071827628,60,695,0,0,56.791579,1.518598,1424244324,1424244324,0.863115,0.859525,0.00065,0.00052,0.00013,0,0,,, ,5,8,3,2,1,1,2,,0
59.166.0.1,56992,149.171.126.0,55107,tcp,FIN,0.016463,2958,32408,31,29,7,18,-,1407762.875,15433396,48,50,255,255,6548629,14890177,62,648,0,0,0,18.612264,1421941778,1421941778,0.343383,0.324714,0.000703,0.000548,0.000155,0,0,0,0,0,11,16,9,2,1,1,1,,0
149.171.126.18,1043,175.45.176.1,53,udp,INT,5.00E-06,264,0,60,0,0,0,dns,211200000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424238583,1424238583,0.005,0,0,0,0,0,0,,, ,19,19,14,14,14,14,19,,0
175.45.176.0,47439,149.171.126.10,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424260141,1424260141,0.003,0,0,0,0,0,2,,, ,16,16,11,11,11,5,16,Generic,1
149.171.126.15,1043,175.45.176.3,53,udp,INT,7.00E-06,264,0,60,0,0,0,dns,150857136,0,2,0,0,0,0,0,132,0,0,0,0,0,1424247951,1424247951,0.007,0,0,0,0,0,0,,, ,26,26,23,23,23,23,26,,0
59.166.0.5,9944,149.171.126.0,80,tcp,FIN,1.225771,1684,10168,31,29,3,5,http,10207.45313,62680.55078,14,18,255,255,1556979850,3707705023,120,565,1,3924,9171.711448,8028.714003,1424223161,1424223162,94.264464,72.076059,0.000597,0.000475,0.000122,0,0,1,, ,1,2,2,1,1,1,2,,0
59.166.0.4,35681,149.171.126.2,45031,tcp,FIN,0.032683,3614,45044,31,29,7,24,-,869932.375,10847964,60,62,255,255,3813616335,3813914652,60,727,0,0,34.040364,32.701438,1421956376,1421956376,0.547763,0.525754,0.000726,0.000602,0.000124,0,0,0,0,0,8,2,2,1,1,1,1,,0
175.45.176.1,0,149.171.126.12,0,egp,INT,5.00E-06,180,0,254,0,0,0,-,144000000,0,2,0,0,0,0,0,90,0,0,0,0,0,1421930644,1421930644,0.005,0,0,0,0,0,2,0,0,0,8,6,5,4,4,4,4, Fuzzers,1
175.45.176.3,1043,149.171.126.18,53,udp,INT,3.00E-06,114,0,254,0,0,0,dns,152000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424230722,1424230722,0.003,0,0,0,0,0,2,,, ,34,34,25,25,25,25,34,Generic,1
59.166.0.4,3762,149.171.126.2,6881,tcp,FIN,0.017883,1540,1644,31,29,4,4,-,645976.5625,694738,16,18,255,255,3060140432,3064723875,96,91,0,0,70.838644,2.077696,1424246378,1424246378,1.172133,1.025412,0.000563,0.000447,0.000116,0,0,,, ,3,5,5,6,3,1,3,,0
59.166.0.4,1158,149.171.126.6,25,tcp,FIN,0.028044,37552,3276,31,29,18,8,smtp,10506347,911424.875,52,40,255,255,260472436,2411509007,722,82,0,0,34.386064,1.697062,1424250189,1424250189,0.55418,0.705897,0.000633,0.000507,0.000126,0,0,,, ,1,2,2,4,1,1,3,,0
175.45.176.2,59527,149.171.126.14,80,tcp,FIN,0.508677,2440,268,254,252,2,1,http,34536.65234,3522.864258,10,6,255,255,3436261335,2806130628,244,45,1,0,2856.938204,144.374922,1424235159,1424235160,55.154667,91.636602,0.111386,0.050485,0.060901,0,1,1,, ,1,1,1,2,1,1,1,Exploits,1
59.166.0.0,45084,149.171.126.0,25,tcp,FIN,0.020292,37210,3276,31,29,18,8,smtp,14387936,1259609.625,52,40,255,255,1263965685,1264957298,716,82,0,0,21.851874,0.985496,1424240012,1424240012,0.39892,0.508256,0.000602,0.000465,0.000137,0,0,,, ,1,1,2,7,1,1,1,,0
175.45.176.1,1043,149.171.126.14,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424254727,1424254727,0.009,0,0,0,0,0,2,,, ,16,16,16,17,16,16,17,Generic,1
175.45.176.3,0,149.171.126.19,0,unas,INT,3.00E-06,200,0,254,0,0,0,-,266666656,0,2,0,0,0,0,0,100,0,0,0,0,0,1424230395,1424230395,0.003,0,0,0,0,0,2,,, ,5,5,3,3,3,3,5,Exploits,1
59.166.0.4,24661,149.171.126.1,6881,tcp,FIN,1.479239,13142,548216,31,29,21,197,-,70766.11719,2958088.5,228,438,255,255,2281069328,153554217,58,1252,0,0,468.946147,351.189903,1421942311,1421942313,6.514938,3.383954,0.000572,0.00045,0.000122,0,0,0,0,0,11,15,5,3,2,1,1,,0
59.166.0.8,32863,149.171.126.2,80,tcp,FIN,1.009947,1684,10168,31,29,3,5,http,12388.76953,76075.28125,14,18,255,255,576944609,2723345110,120,565,1,3924,8766.141641,7676.245298,1421969772,1421969773,77.658536,59.376235,0.000724,0.000546,0.000178,0,0,1,0,0,1,1,3,6,1,1,1,,0
175.45.176.0,1043,149.171.126.12,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424223433,1424223433,0.009,0,0,0,0,0,2,,, ,42,42,34,35,34,16,42,Generic,1
59.166.0.3,15626,149.171.126.1,25,tcp,FIN,0.149852,37210,3172,31,29,18,8,smtp,1948322.5,164909.3906,52,38,255,255,4211062487,4207902760,716,83,0,0,375.1175,13.054102,1424239469,1424239469,2.99024,4.035838,0.000653,0.000523,0.00013,0,0,,, ,1,1,4,7,1,1,3,,0
59.166.0.7,48948,149.171.126.4,5190,tcp,FIN,0.005633,1958,2308,31,29,6,6,-,2654358.25,3141487.75,22,24,255,255,2641066775,491810881,89,96,0,0,15.368049,13.067595,1424250959,1424250959,0.25181,0.216,0.000802,0.000656,0.000146,0,0,,, ,2,4,2,1,1,1,1,,0
59.166.0.7,13238,149.171.126.1,111,udp,CON,0.004759,568,304,31,29,0,0,-,716116.8125,383273.7813,4,4,0,0,0,0,142,76,0,0,1.732413,1.518159,1421968588,1421968588,1.232,1.08,0,0,0,0,0,0,0,0,9,15,6,6,1,1,4,,0
175.45.176.3,1043,149.171.126.15,53,udp,INT,4.00E-06,114,0,254,0,0,0,dns,114000000,0,2,0,0,0,0,0,57,0,0,0,0,0,1424245697,1424245697,0.004,0,0,0,0,0,2,,, ,28,28,18,18,18,18,28,Generic,1
59.166.0.3,55650,149.171.126.8,6881,tcp,FIN,0.188855,1540,1644,31,29,4,4,-,61168.61719,65785.91406,16,18,255,255,3120848945,997993378,96,91,0,0,755.753814,24.225652,1421966712,1421966712,12.5694,11.079,0.000638,0.000502,0.000136,0,0,0,0,0,9,6,4,4,4,1,4,,0
149.171.126.18,47439,175.45.176.3,53,udp,INT,3.00E-06,264,0,60,0,0,0,dns,352000000,0,2,0,0,0,0,0,132,0,0,0,0,0,1424232014,1424232014,0.003,0,0,0,0,0,0,,, ,27,27,25,25,25,25,27,,0
59.166.0.0,45237,149.171.126.8,53,udp,INT,2.00E-06,146,0,31,0,0,0,dns,292000000,0,2,0,0,0,0,0,73,0,0,0,0,0,1421972009,1421972009,0.002,0,0,0,0,0,0,0,0,0,2,2,2,2,1,1,1,,0
59.166.0.2,27502,149.171.126.2,80,tcp,FIN,1.024698,1684,10168,31,29,3,5,http,12210.42676,74980.14063,14,18,255,255,688121049,689145805,120,565,1,3924,8766.922804,7675.849612,1424258977,1424258978,78.797538,60.245588,0.000656,0.000517,0.000139,0,0,1,, ,2,1,3,3,2,1,1,,0
175.45.176.1,0,149.171.126.17,0,sun-nd,INT,5.00E-06,200,0,254,0,0,0,-,160000000,0,2,0,0,0,0,0,100,0,0,0,0,0,1424244389,1424244389,0.005,0,0,0,0,0,2,,, ,12,12,6,6,5,5,17,Exploits,1
59.166.0.8,40002,149.171.126.2,38792,tcp,FIN,0.425398,4696,3080,31,29,7,7,-,85172.00781,56004.02734,28,30,255,255,2553162490,2721654903,168,103,0,0,860.43465,21.605705,1424242115,1424242115,15.743629,14.650966,0.000657,0.000517,0.00014,0,0,,, ,5,12,4,5,1,1,3,,0
175.45.176.0,47439,149.171.126.12,53,udp,INT,9.00E-06,114,0,254,0,0,0,dns,50666664,0,2,0,0,0,0,0,57,0,0,0,0,0,1424224306,1424224306,0.009,0,0,0,0,0,2,,, ,24,24,17,17,17,9,24,Generic,1
